Uid,Cname,Address
C000000001,John Smith,"123 Main St, Anytown, USA"
C000000002,Jane Doe,"456 Maple Ave, Anytown, USA"
C000000003,Robert Johnson,"789 Oak St, Anytown, USA"
C000000004,Samantha Lee,"101 Pine St, Anytown, USA"
C000000005,David Kim,"222 Broadway, Anytown, USA"
C000000006,Emily Chen,"333 Elm St, Anytown, USA"
C000000007,Michael Davis,"444 Chestnut St, Anytown, USA"
C000000008,Amy Jones,"555 Walnut St, Anytown, USA"
C000000009,William Brown,"666 Cherry St, Anytown, USA"
C000000010,Lisa Wilson,"777 Cedar Ave, Anytown, USA"
